Census year,Block ID,Property ID,Base property ID,Building address,CLUE small area,Trading name,Business address,Number of patrons,Longitude,Latitude,location
2022,17,103928,103928,133-135 Flinders Lane MELBOURNE VIC 3000,Melbourne (CBD),Meatball & Wine Bar,Ground 135 Flinders Lane MELBOURNE VIC 3000,110,144.970158531,-37.81573536,"-37.81573536, 144.970158531"
2022,22,105394,105394,62-66 King Street MELBOURNE VIC 3000,Melbourne (CBD),KSR Art Bar,Level 1 62-66 King Street MELBOURNE VIC 3000,240,144.957140868,-37.81874063,"-37.81874063, 144.957140868"
2022,23,102099,102099,419-429 Collins Street MELBOURNE VIC 3000,Melbourne (CBD),The Whisky Boutique / Ms Collins,Part Gnd & Mezzanine 425 Collins Street MELBOURNE VIC 3000,850,144.960653126,-37.81752882,"-37.81752882, 144.960653126"
2022,24,103174,103174,55-57 Elizabeth Street MELBOURNE VIC 3000,Melbourne (CBD),Fiftyfive,Basement 55 Elizabeth Street MELBOURNE VIC 3000,88,144.96413018,-37.81697243,"-37.81697243, 144.96413018"
2022,27,597183,102071,Grand Hyatt Melbourne Retail 121-131 Collins Street MELBOURNE VIC 3000,Melbourne (CBD),Spice Market,Part LwrGround 121-131 Collins Street MELBOURNE VIC 3000,800,144.969846693,-37.81516811,"-37.81516811, 144.969846693"
2022,33,100730,100730,The Melbourne Savage Club 12-16 Bank Place MELBOURNE VIC 3000,Melbourne (CBD),MELBOURNE SAVAGE CLUB,The Melbourne Savage Club 12-16 Bank Place MELBOURNE VIC 3000,90,144.960576536,-37.81654467,"-37.81654467, 144.960576536"
2022,33,105936,105936,433 Little Collins Street MELBOURNE VIC 3000,Melbourne (CBD),Dikstein's Corner Bar,433 Little Collins Street MELBOURNE VIC 3000,145,144.960341294,-37.81631094,"-37.81631094, 144.960341294"
2022,33,105937,105937,435-443 Little Collins Street MELBOURNE VIC 3000,Melbourne (CBD),Civico 23,23 Bank Place MELBOURNE VIC 3000,80,144.96008589,-37.81638559,"-37.81638559, 144.96008589"
2022,35,105919,105919,267 Little Collins Street MELBOURNE VIC 3000,Melbourne (CBD),Bar Americano,20 Presgrave Place MELBOURNE VIC 3000,10,144.965603432,-37.81483458,"-37.81483458, 144.965603432"
2022,37,709874,102161,101-107 Little Collins Street MELBOURNE VIC 3000,Melbourne (CBD),The Next Hotel Melbourne,103 Little Collins Street MELBOURNE VIC 3000,321,144.970722631,-37.81360963,"-37.81360963, 144.970722631"
2022,42,105392,105392,120-138 King Street MELBOURNE VIC 3000,Melbourne (CBD),The King Hotel,Part Ground 120 King Street MELBOURNE VIC 3000,500,144.956407818,-37.81703156,"-37.81703156, 144.956407818"
2022,43,101154,101154,RACV Building 483-501 Bourke Street MELBOURNE VIC 3000,Melbourne (CBD),RACV City Club,501 Bourke Street MELBOURNE VIC 3000,150,144.959592497,-37.81587957,"-37.81587957, 144.959592497"
2022,46,101133,101133,209-215 Bourke Street MELBOURNE VIC 3000,Melbourne (CBD),Lychee Entertainment,Level 1-2 215 Bourke Street MELBOURNE VIC 3000,150,144.967299385,-37.81328093,"-37.81328093, 144.967299385"
2022,46,101136,101136,231-233 Bourke Street MELBOURNE VIC 3000,Melbourne (CBD),Comedy Republic,Level 1-2 231 Bourke Street MELBOURNE VIC 3000,150,144.966841457,-37.81343614,"-37.81343614, 144.966841457"
2022,46,105962,105962,Council House 2 218-242 Little Collins Street MELBOURNE VIC 3000,Melbourne (CBD),Glamp Bar,"Shop 1, 236 Little Collins Street MELBOURNE VIC 3000",200,144.966783557,-37.81413595,"-37.81413595, 144.966783557"
2022,46,105963,105963,Council House 196-212 Little Collins Street MELBOURNE VIC 3000,Melbourne (CBD),The Luwow,212 Little Collins Street MELBOURNE VIC 3000,50,144.967156757,-37.81384227,"-37.81384227, 144.967156757"
2022,46,105964,105964,188-194 Little Collins Street MELBOURNE VIC 3000,Melbourne (CBD),Gin Palace,10 Russell Place MELBOURNE VIC 3000,150,144.967580651,-37.81390779,"-37.81390779, 144.967580651"
2022,46,109413,109413,146 Swanston Street MELBOURNE VIC 3000,Melbourne (CBD),Cabinet Bar,11 Rainbow Alley MELBOURNE VIC 3000,90,144.966203891,-37.81417648,"-37.81417648, 144.966203891"
2022,48,101113,101113,59-63 Bourke Street MELBOURNE VIC 3000,Melbourne (CBD),Tokyo Hustle,Level 2 59-63 Bourke Street MELBOURNE VIC 3000,150,144.971565895,-37.81212537,"-37.81212537, 144.971565895"
2022,51,108963,108963,672-696 Bourke Street MELBOURNE VIC 3000,Melbourne (CBD),Mail Exchange Hotel,Part Basement 688 Bourke Street MELBOURNE VIC 3000,600,144.953590199,-37.81663038,"-37.81663038, 144.953590199"
2022,52,592048,592048,188-202 King Street MELBOURNE VIC 3000,Melbourne (CBD),La Di Da,188-200 King Street MELBOURNE VIC 3000,458,144.955624348,-37.81551353,"-37.81551353, 144.955624348"
2022,53,101180,101180,Equity Chambers 472-478 Bourke Street MELBOURNE VIC 3000,Melbourne (CBD),The Douglas Club,472 Bourke Street MELBOURNE VIC 3000,50,144.959599813,-37.81486162,"-37.81486162, 144.959599813"
2022,54,109954,109954,15-19 Warburton Lane MELBOURNE VIC 3000,Melbourne (CBD),Murmur Piano Bar,Level 1 15-19 Warburton Lane MELBOURNE VIC 3000,70,144.961846248,-37.81381239,"-37.81381239, 144.961846248"
2022,56,101207,101207,184-186 Bourke Street MELBOURNE VIC 3000,Melbourne (CBD),Stars KTV & Lounge,Level 1-4 184-186 Bourke Street MELBOURNE VIC 3000,200,144.967688837,-37.81267583,"-37.81267583, 144.967688837"
2022,56,108538,108538,163-169 Russell Street MELBOURNE VIC 3000,Melbourne (CBD),Sky Lounge KTV,Level 1 163-165 Russell Street MELBOURNE VIC 3000,300,144.967647913,-37.81246709,"-37.81246709, 144.967647913"
2022,57,101214,101214,146-150 Bourke Street MELBOURNE VIC 3000,Melbourne (CBD),FM Karaoke Bar,Pt Gnd & Levels 1-2 146 Bourke Street MELBOURNE VIC 3000,100,144.968738686,-37.81235798,"-37.81235798, 144.968738686"
2022,58,101238,101238,The Imperial Hotel 2-8 Bourke Street MELBOURNE VIC 3000,Melbourne (CBD),Imperial Hotel,The Imperial Hotel 2-8 Bourke Street MELBOURNE VIC 3000,894,144.972676047,-37.8112003,"-37.8112003, 144.972676047"
2022,58,105657,105657,21 Liverpool Street MELBOURNE VIC 3000,Melbourne (CBD),Double Happiness Bar / New Gold Mountain,21 Liverpool Street MELBOURNE VIC 3000,100,144.971263947,-37.81118056,"-37.81118056, 144.971263947"
2022,58,108986,108986,161 Spring Street MELBOURNE VIC 3000,Melbourne (CBD),The European,Ground 161 Spring Street MELBOURNE VIC 3000,703,144.972429051,-37.8109513,"-37.8109513, 144.972429051"
2022,61,105716,105716,597-603 Lonsdale Street MELBOURNE VIC 3000,Melbourne (CBD),The Melbourne Mens Gallery,597-603 Lonsdale Street MELBOURNE VIC 3000,675,144.954491226,-37.81494075,"-37.81494075, 144.954491226"
2022,63,105867,105867,428-432 Little Bourke Street MELBOURNE VIC 3000,Melbourne (CBD),Denmark House,"Suite 301, Level 3 428 Little Bourke Street MELBOURNE VIC 3000",100,144.959722941,-37.81392392,"-37.81392392, 144.959722941"
2022,64,104659,104659,67-73 Hardware Lane MELBOURNE VIC 3000,Melbourne (CBD),Charlie's Bar,Basement 67 Hardware Lane MELBOURNE VIC 3000,143,144.960907988,-37.81323451,"-37.81323451, 144.960907988"
2022,64,105704,105704,377-381 Lonsdale Street MELBOURNE VIC 3000,Melbourne (CBD),Trapt Bar & Escape Rooms,"Unit 1, 377 Lonsdale Street MELBOURNE VIC 3000",331,144.961464811,-37.81291055,"-37.81291055, 144.961464811"
2022,65,105698,105698,269-321 Lonsdale Street MELBOURNE VIC 3000,Melbourne (CBD),Fortress Melbourne,23 Caledonian Lane MELBOURNE VIC 3000,1000,144.96383862,-37.812452,"-37.812452, 144.96383862"
2022,65,105875,105875,Break Free (Heritage on Little Bourke) 318-322 Little Bourke Street MELBOURNE VIC 3000,Melbourne (CBD),Penny Blue,2 Driver Lane MELBOURNE VIC 3000,85,144.963127603,-37.81292437,"-37.81292437, 144.963127603"
2022,66,105691,105691,209-211 Lonsdale Street MELBOURNE VIC 3000,Melbourne (CBD),Boilermaker House,209-211 Lonsdale Street MELBOURNE VIC 3000,180,144.966260883,-37.8114331,"-37.8114331, 144.966260883"
2022,66,105694,105694,233-237 Lonsdale Street MELBOURNE VIC 3000,Melbourne (CBD),The Emerald Peacock,233 Lonsdale Street MELBOURNE VIC 3000,300,144.965548057,-37.81158031,"-37.81158031, 144.965548057"
2022,66,105878,105878,242-244 Little Bourke Street MELBOURNE VIC 3000,Melbourne (CBD),Shanghai Club,"Unit 1, Ground 242 Little Bourke Street MELBOURNE VIC 3000",209,144.965602986,-37.81213633,"-37.81213633, 144.965602986"
2022,66,108547,108547,199-203 Russell Street MELBOURNE VIC 3000,Melbourne (CBD),Exford Hotel,199-203 Russell Street MELBOURNE VIC 3000,300,144.967340558,-37.8117918,"-37.8117918, 144.967340558"
